Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0 rst_n=x counter=X
Time=0 rst_n=x counter=Z
Time=10000 rst_n=1 counter=Z
Time=20000 rst_n=0 counter=Z
Time=120000 rst_n=1 counter=Z
Time=8937000 rst_n=1 counter=Z
Time=9890000 rst_n=1 counter=Z
Time=10844000 rst_n=1 counter=Z
Time=11798000 rst_n=1 counter=Z
Time=12752000 rst_n=1 counter=Z
Time=13706000 rst_n=1 counter=Z
Time=14660000 rst_n=1 counter=Z
Time=15614000 rst_n=1 counter=Z
Time=16567000 rst_n=1 counter=Z
Time=17521000 rst_n=1 counter=Z
Time=18475000 rst_n=1 counter=Z
Time=19429000 rst_n=1 counter=Z
Time=20383000 rst_n=1 counter=Z
Time=21337000 rst_n=1 counter=Z
Time=22290000 rst_n=1 counter=Z
Time=23244000 rst_n=1 counter=Z
Time=24198000 rst_n=1 counter=Z
Time=25152000 rst_n=1 counter=Z
Time=26106000 rst_n=1 counter=Z
Time=27060000 rst_n=1 counter=Z
Time=28014000 rst_n=1 counter=Z
Time=28967000 rst_n=1 counter=Z
Time=29921000 rst_n=1 counter=Z
Time=30875000 rst_n=1 counter=Z
Time=31829000 rst_n=1 counter=Z
Time=32783000 rst_n=1 counter=Z
Time=33737000 rst_n=1 counter=Z
Time=34690000 rst_n=1 counter=Z
Time=35644000 rst_n=1 counter=Z
Time=36598000 rst_n=1 counter=Z
Time=37552000 rst_n=1 counter=Z
Time=38506000 rst_n=1 counter=Z
Time=39460000 rst_n=1 counter=Z
Time=40414000 rst_n=1 counter=Z
Time=41367000 rst_n=1 counter=Z
Time=42321000 rst_n=1 counter=Z
Time=43275000 rst_n=1 counter=Z
Time=44229000 rst_n=1 counter=Z
Time=45183000 rst_n=1 counter=Z
Time=46137000 rst_n=1 counter=Z
Time=47090000 rst_n=1 counter=Z
Time=48044000 rst_n=1 counter=Z
Time=48998000 rst_n=1 counter=Z
Time=49952000 rst_n=1 counter=Z
Time=50906000 rst_n=1 counter=Z
Time=51860000 rst_n=1 counter=Z
Time=52814000 rst_n=1 counter=Z
Time=53767000 rst_n=1 counter=Z
Time=54721000 rst_n=1 counter=Z
Time=55675000 rst_n=1 counter=Z
Time=56629000 rst_n=1 counter=Z
Time=57583000 rst_n=1 counter=Z
Time=58537000 rst_n=1 counter=Z
Time=59490000 rst_n=1 counter=Z
Time=60444000 rst_n=1 counter=Z
Time=61398000 rst_n=1 counter=Z
Time=62352000 rst_n=1 counter=Z
Time=63306000 rst_n=1 counter=Z
Time=64260000 rst_n=1 counter=Z
Time=65214000 rst_n=1 counter=Z
Time=66167000 rst_n=1 counter=Z
Time=67121000 rst_n=1 counter=Z
Time=68075000 rst_n=1 counter=Z
Time=69029000 rst_n=1 counter=Z
Time=69983000 rst_n=1 counter=Z
Time=70937000 rst_n=1 counter=Z
Time=71890000 rst_n=1 counter=Z
Time=72844000 rst_n=1 counter=Z
Time=73798000 rst_n=1 counter=Z
Time=74752000 rst_n=1 counter=Z
Time=75706000 rst_n=1 counter=Z
Time=76660000 rst_n=1 counter=Z
Time=77614000 rst_n=1 counter=Z
Time=78567000 rst_n=1 counter=Z
Time=79521000 rst_n=1 counter=Z
Time=80475000 rst_n=1 counter=Z
Time=81429000 rst_n=1 counter=Z
Time=82383000 rst_n=1 counter=Z
Time=83337000 rst_n=1 counter=Z
Time=84290000 rst_n=1 counter=Z
Time=85244000 rst_n=1 counter=Z
Time=86198000 rst_n=1 counter=Z
Time=87152000 rst_n=1 counter=Z
Time=88106000 rst_n=1 counter=Z
Time=89060000 rst_n=1 counter=Z
Time=90014000 rst_n=1 counter=Z
Time=90967000 rst_n=1 counter=Z
Time=91921000 rst_n=1 counter=Z
Time=92875000 rst_n=1 counter=Z
Time=93829000 rst_n=1 counter=Z
Time=94783000 rst_n=1 counter=Z
Time=95737000 rst_n=1 counter=Z
Time=96690000 rst_n=1 counter=Z
Time=97644000 rst_n=1 counter=Z
Time=98598000 rst_n=1 counter=Z
Time=99552000 rst_n=1 counter=Z
Time=100506000 rst_n=1 counter=Z
Time=101460000 rst_n=1 counter=Z
Time=102414000 rst_n=1 counter=Z
Time=103367000 rst_n=1 counter=Z
Time=104321000 rst_n=1 counter=Z
Time=105275000 rst_n=1 counter=Z
Time=106229000 rst_n=1 counter=Z
Time=107183000 rst_n=1 counter=Z
Time=108137000 rst_n=1 counter=Z
Time=109090000 rst_n=1 counter=Z
Time=110044000 rst_n=1 counter=Z
Time=110998000 rst_n=1 counter=Z
Time=111952000 rst_n=1 counter=Z
Time=112906000 rst_n=1 counter=Z
Time=113860000 rst_n=1 counter=Z
Time=114814000 rst_n=1 counter=Z
Time=115767000 rst_n=1 counter=Z
Time=116721000 rst_n=1 counter=Z
Time=117675000 rst_n=1 counter=Z
Time=118629000 rst_n=1 counter=Z
Time=119583000 rst_n=1 counter=Z
Time=120537000 rst_n=1 counter=Z
Time=121490000 rst_n=1 counter=Z
Time=122444000 rst_n=1 counter=Z
Time=123398000 rst_n=1 counter=Z
Time=124352000 rst_n=1 counter=Z
Time=125306000 rst_n=1 counter=Z
Time=126260000 rst_n=1 counter=Z
Time=127214000 rst_n=1 counter=Z
Time=128167000 rst_n=1 counter=Z
Time=129121000 rst_n=1 counter=Z
Time=130075000 rst_n=1 counter=Z
Time=131029000 rst_n=1 counter=Z
Time=131983000 rst_n=1 counter=Z
Time=132937000 rst_n=1 counter=Z
Time=133890000 rst_n=1 counter=Z
Time=134844000 rst_n=1 counter=Z
Time=135798000 rst_n=1 counter=Z
Time=136752000 rst_n=1 counter=Z
Time=137706000 rst_n=1 counter=Z
Time=138660000 rst_n=1 counter=Z
Time=139614000 rst_n=1 counter=Z
Time=140567000 rst_n=1 counter=Z
Time=141521000 rst_n=1 counter=Z
Time=142475000 rst_n=1 counter=Z
Time=143429000 rst_n=1 counter=Z
Time=144383000 rst_n=1 counter=Z
Time=145337000 rst_n=1 counter=Z
Time=146290000 rst_n=1 counter=Z
Time=147244000 rst_n=1 counter=Z
Time=148198000 rst_n=1 counter=Z
Time=149152000 rst_n=1 counter=Z
Time=150106000 rst_n=1 counter=Z
Time=151060000 rst_n=1 counter=Z
Time=152014000 rst_n=1 counter=Z
Time=152967000 rst_n=1 counter=Z
Time=153921000 rst_n=1 counter=Z
Time=154875000 rst_n=1 counter=Z
Time=155829000 rst_n=1 counter=Z
Time=156783000 rst_n=1 counter=Z
Time=157737000 rst_n=1 counter=Z
Time=158690000 rst_n=1 counter=Z
Time=159644000 rst_n=1 counter=Z
Time=160598000 rst_n=1 counter=Z
Time=161552000 rst_n=1 counter=Z
Time=162506000 rst_n=1 counter=Z
Time=163460000 rst_n=1 counter=Z
Time=164414000 rst_n=1 counter=Z
Time=165367000 rst_n=1 counter=Z
Time=166321000 rst_n=1 counter=Z
Time=167275000 rst_n=1 counter=Z
Time=168229000 rst_n=1 counter=Z
Time=169183000 rst_n=1 counter=Z
Time=170137000 rst_n=1 counter=Z
Time=171090000 rst_n=1 counter=Z
Time=172044000 rst_n=1 counter=Z
Time=172998000 rst_n=1 counter=Z
Time=173952000 rst_n=1 counter=Z
Time=174906000 rst_n=1 counter=Z
Time=175860000 rst_n=1 counter=Z
Time=176814000 rst_n=1 counter=Z
Time=177767000 rst_n=1 counter=Z
Time=178721000 rst_n=1 counter=Z
Time=179675000 rst_n=1 counter=Z
Time=180629000 rst_n=1 counter=Z
Time=181583000 rst_n=1 counter=Z
Time=182537000 rst_n=1 counter=Z
Time=183490000 rst_n=1 counter=Z
Time=184444000 rst_n=1 counter=Z
Time=185398000 rst_n=1 counter=Z
Time=186352000 rst_n=1 counter=Z
Time=187306000 rst_n=1 counter=Z
Time=188260000 rst_n=1 counter=Z
Time=189214000 rst_n=1 counter=Z
Time=190167000 rst_n=1 counter=Z
Time=191121000 rst_n=1 counter=Z
Time=192075000 rst_n=1 counter=Z
Time=193029000 rst_n=1 counter=Z
Time=193983000 rst_n=1 counter=Z
Time=194937000 rst_n=1 counter=Z
Time=195890000 rst_n=1 counter=Z
Time=196844000 rst_n=1 counter=Z
Time=197798000 rst_n=1 counter=Z
Time=198752000 rst_n=1 counter=Z
Time=199706000 rst_n=1 counter=Z
Time=200660000 rst_n=1 counter=Z
Time=201614000 rst_n=1 counter=Z
Time=202567000 rst_n=1 counter=Z
Time=203521000 rst_n=1 counter=Z
Time=204475000 rst_n=1 counter=Z
Time=205429000 rst_n=1 counter=Z
Time=206383000 rst_n=1 counter=Z
Time=207337000 rst_n=1 counter=Z
